Question,Tickets,Difficulty,Category,Question Text,Correct Answer
1,2,Easy,"Culinary Basics","What does “mise en place” mean?","Everything in its place"
2,2,Easy,"Spirits & Cocktails","Tequila is made from…","Blue agave"
3,2,Easy,"World Cuisine","Pho is a noodle soup most closely associated with which country?","Vietnam"
4,2,Easy,"Beer","What does IPA stand for?","India Pale Ale"
5,2,Easy,"Restaurant & Service","In restaurant inventory, what does FIFO stand for?","First In, First Out"
6,2,Easy,"Ingredients & Food Science","Which rice is famously associated with risotto?","Arborio"
7,2,Easy,"Spirits & Cocktails","Which herb is essential to a classic Mojito?","Mint"
8,2,Easy,"Wine","True Champagne comes from the Champagne region of…","France"
9,4,Medium,"World Cuisine","Classic pesto Genovese is built around which herb?","Basil"
10,2,Easy,"Beer","Which ingredient is especially responsible for bitterness and many aromas in beer?","Hops"
11,2,Easy,"World Cuisine","Schnitzel is best described as…","A thin breaded cutlet"
12,10,Hard,"Culinary Basics","What does “confit” traditionally refer to?","Food slowly cooked and preserved in fat"
13,2,Easy,"Ingredients & Food Science","What legume is the main ingredient in classic hummus?","Chickpeas"
14,2,Easy,"Wine","Why might a wine be decanted?","To expose it to air or separate it from sediment"
15,2,Easy,"Restaurant & Service","If an item is “86’d,” what does that usually mean?","It is unavailable or sold out"
16,4,Medium,"Culinary Basics","What is an emulsion?","A mixture of liquids that normally do not stay combined"
17,4,Medium,"Culinary Basics","What type of foods are most commonly cut using a chiffonade?","Leafy herbs and greens"
18,4,Medium,"Restaurant & Service","What best describes suggestive selling in hospitality?","Offering relevant additions or upgrades that improve the guest experience"
19,2,Easy,"Culinary Basics","What does “julienne” mean in the kitchen?","Cut into thin matchstick-size strips"
20,4,Medium,"Ingredients & Food Science","What gas produced by yeast helps bread dough rise?","Carbon dioxide"
21,4,Medium,"Ingredients & Food Science","Capers are actually…","Pickled flower buds"
22,2,Easy,"Wine","Most of the color in red wine comes from contact with…","Grape skins"
23,4,Medium,"Culinary Basics","Poaching generally cooks food in liquid that is…","Below a full simmer"
24,4,Medium,"Ingredients & Food Science","Cocoa butter is…","The natural fat found in cacao beans"
25,10,Hard,"Spirits & Cocktails","A classic Negroni contains gin, Campari, and…","Sweet vermouth"
26,2,Easy,"Spirits & Cocktails","A Moscow Mule traditionally combines vodka with…","Ginger beer and lime"
27,2,Easy,"Restaurant & Service","What is a “two-top”?","A table set for two guests"
28,2,Easy,"Beer","What does ABV stand for on a beverage label?","Alcohol by volume"
29,2,Easy,"World Cuisine","Poutine traditionally combines fries, gravy, and…","Cheese curds"
30,2,Easy,"World Cuisine","Tzatziki is traditionally made with yogurt and…","Cucumber"
31,4,Medium,"Ingredients & Food Science","Natural vanilla flavor comes from pods produced by what type of plant?","An orchid"
32,4,Medium,"World Cuisine","Ceviche cooks or firms seafood primarily through the action of…","Citrus acid"
33,2,Easy,"Wine","A sommelier is a hospitality professional specializing primarily in…","Wine and beverage service"
34,2,Easy,"Culinary Basics","What does “al dente” mean when describing pasta?","Firm to the bite"
35,4,Medium,"Culinary Basics","Why do cooks deglaze a pan?","To dissolve flavorful browned bits with liquid"
